description,images,link,price,thumbnail,title
"One Size available
pre-owned Birkin 30 handbag
pre-owned Birkin 30 handbag from Hermès Pre-Owned featuring Togo leather, signature sangles straps, foldover top, twist-lock fastening, padlock fastening, hanging key fob, set of keys, two rounded top handles, internal logo stamp, internal zip-fastening pocket, internal patch pocket, leather lining, metal feet, silver-tone hardware, trapeze body and Bosphore green. Conscious: Purchasing this item continues its narrative and reduces the environmental impact of using new resources. You can be confident that you’re making a better choice for the Planet..
Made in France
Outer: 
Leather 100%
Outer: 
Leather 100%
FARFETCH ID: 
 18931163
 18931163
Brand style ID: 
 123099
 123099
By signing up, you agree to our 
.ltr-1kby4wd-Body{font-family:var(--typography-body-font-family);font-size:var(--typography-body-font-size);line-height:var(--typography-body-line-height);background-color:transparent;cursor:pointer;transition-property:color,text-decoration;transition-duration:var(--motion-functional-duration-s);transition-timing-function:var(--motion-functional-easing-standard);-webkit-text-decoration:underline;text-decoration:underline;color:var(--colors-actions-ghost-dark-enabled-label);}.ltr-1kby4wd-Body:hover{color:var(--colors-actions-ghost-dark-hover-label);}.ltr-1kby4wd-Body:focus{transition-property:color;}
Privacy Policy
. 
Unsubscribe anytime at the bottom of our emails. ","https://cdn-images.farfetch-contents.com/18/93/11/63/18931163_41121135_1000.jpg,https://cdn-images.farfetch-contents.com/18/93/11/63/18931163_41121185_1000.jpg",https://www.farfetch.com/vn/shopping/women/hermes-pre-owned-birkin-30-handbag-item-18931163.aspx,21997.0,https://cdn-images.farfetch-contents.com/18/93/11/63/18931163_41121185_480.jpg,pre-owned Birkin 30 handbag
"One Size available
2002 pre-owned Birkin 35 Vibrato bag
Blue/multicolour calf leather/goatskin 2002 pre-owned Birkin 35 Vibrato bag from Hermès Pre-Owned featuring two rounded top handles, foldover top, strap and twist-lock fastening, padlock fastening, main compartment, internal zip-fastening pocket, internal slip pocket, internal logo stamp, metal feet, set of keys, hanging key fob, gold-tone hardware and circa 2002. Don't get caught out – this piece comes with a rain cover.. Protect your investment. This piece comes complete with a protective dust bag.. Please be mindful that this piece has led a previous life, and may tell its story through minor imperfection. Purchasing this item continues its narrative, so you can be confident that you’re making a POSITIVELY CONSCIOUS choice for the planet..
Made in France
Outer: 
Calf Leather 100%
Outer: 
Calf Leather 100%
Inner: 
Goat Skin 100%
Inner: 
Goat Skin 100%
Specialist Cleaning
The model is 1.75 m wearing size OS
FARFETCH ID: 
 16775742
 16775742
Brand style ID: 
 SquareF12
 SquareF12
By signing up, you agree to our 
.ltr-1kby4wd-Body{font-family:var(--typography-body-font-family);font-size:var(--typography-body-font-size);line-height:var(--typography-body-line-height);background-color:transparent;cursor:pointer;transition-property:color,text-decoration;transition-duration:var(--motion-functional-duration-s);transition-timing-function:var(--motion-functional-easing-standard);-webkit-text-decoration:underline;text-decoration:underline;color:var(--colors-actions-ghost-dark-enabled-label);}.ltr-1kby4wd-Body:hover{color:var(--colors-actions-ghost-dark-hover-label);}.ltr-1kby4wd-Body:focus{transition-property:color;}
Privacy Policy
. 
Unsubscribe anytime at the bottom of our emails. ","https://cdn-images.farfetch-contents.com/16/77/57/42/16775742_33252547_1000.jpg,https://cdn-images.farfetch-contents.com/16/77/57/42/16775742_33252548_1000.jpg",https://www.farfetch.com/vn/shopping/women/hermes-2002-pre-owned-birkin-35-vibrato-bag-item-16775742.aspx,23241.0,https://cdn-images.farfetch-contents.com/16/77/57/42/16775742_33252548_480.jpg,2002 pre-owned Birkin 35 Vibrato bag
"One Size available
2003 pre-owned Vespa shoulder bag
2003 pre-owned Vespa shoulder bag from Hermès Pre-Owned featuring apple green, Taurillon Clemence leather, bar-pin fastening and single shoulder strap. Condition: GOOD. This previously owned and used item is in good condition with minimal signs of use. This may include fading of material or plating and scratches.. Conscious: Purchasing this item continues its narrative and reduces the environmental impact of using new resources. You can be confident that you’re making a better choice for the Planet..
Made in France
Outer: 
Calf Leather 100%
Outer: 
Calf Leather 100%
FARFETCH ID: 
 19104389
 19104389
Brand style ID: 
 SQUAREG
 SQUAREG
By signing up, you agree to our 
.ltr-1kby4wd-Body{font-family:var(--typography-body-font-family);font-size:var(--typography-body-font-size);line-height:var(--typography-body-line-height);background-color:transparent;cursor:pointer;transition-property:color,text-decoration;transition-duration:var(--motion-functional-duration-s);transition-timing-function:var(--motion-functional-easing-standard);-webkit-text-decoration:underline;text-decoration:underline;color:var(--colors-actions-ghost-dark-enabled-label);}.ltr-1kby4wd-Body:hover{color:var(--colors-actions-ghost-dark-hover-label);}.ltr-1kby4wd-Body:focus{transition-property:color;}
Privacy Policy
. 
Unsubscribe anytime at the bottom of our emails. ","https://cdn-images.farfetch-contents.com/19/10/43/89/19104389_41956072_1000.jpg,https://cdn-images.farfetch-contents.com/19/10/43/89/19104389_41956074_1000.jpg",https://www.farfetch.com/vn/shopping/women/hermes-2003-pre-owned-vespa-shoulder-bag-item-19104389.aspx,2976.0,https://cdn-images.farfetch-contents.com/19/10/43/89/19104389_41956074_480.jpg,2003 pre-owned Vespa shoulder bag
"One Size available
2013 pre-owned Garden Party PM handbag
2013 pre-owned Garden Party PM handbag from Hermès Pre-Owned featuring navy blue, black, canvas, leather, leather trim, two rolled top handles, press-stud fastening, side press-stud fastening, no lining, silver-tone hardware, rectangle body and circa 2013. Purchasing this item continues its narrative and reduces the environmental impact by avoiding the use of new resources needed to make the product from scratch, such as water, materials and electricity, and avoiding additional manufacturing impact.. Learn more about what makes a product Conscious on our Conscious Criteria page.
Made in France
Outer: 
Fabric 100%
Outer: 
Fabric 100%
FARFETCH ID: 
 19888854
 19888854
Brand style ID: 
 821109
 821109
By signing up, you agree to our 
.ltr-1kby4wd-Body{font-family:var(--typography-body-font-family);font-size:var(--typography-body-font-size);line-height:var(--typography-body-line-height);background-color:transparent;cursor:pointer;transition-property:color,text-decoration;transition-duration:var(--motion-functional-duration-s);transition-timing-function:var(--motion-functional-easing-standard);-webkit-text-decoration:underline;text-decoration:underline;color:var(--colors-actions-ghost-dark-enabled-label);}.ltr-1kby4wd-Body:hover{color:var(--colors-actions-ghost-dark-hover-label);}.ltr-1kby4wd-Body:focus{transition-property:color;}
Privacy Policy
. 
Unsubscribe anytime at the bottom of our emails. ","https://cdn-images.farfetch-contents.com/19/88/88/54/19888854_44665414_1000.jpg,https://cdn-images.farfetch-contents.com/19/88/88/54/19888854_44665413_1000.jpg",https://www.farfetch.com/vn/shopping/women/hermes-2013-pre-owned-garden-party-pm-handbag-item-19888854.aspx,3040.0,https://cdn-images.farfetch-contents.com/19/88/88/54/19888854_44665413_480.jpg,2013 pre-owned Garden Party PM handbag
"One Size available
1999 pre-owned Haut À Courroies 55 bag
First designed in 1892, the Haut À Courroies handbag from Hermès was the inspiration for many remarkable designs that followed. Presented here in black Ardennes leather, this 55cm large piece has the signature leather sangles embracing its trapeze-shaped structure and elegant gold-tone hardware.
First designed in 1892, the Haut À Courroies handbag from Hermès was the inspiration for many remarkable designs that followed. Presented here in black Ardennes leather, this 55cm large piece has the signature leather sangles embracing its trapeze-shaped structure and elegant gold-tone hardware.
Made in France
circa 1999 
black 
Ardennes leather 
two rolled top handles 
foldover top 
strap and twist-lock fastening 
padlock fastening 
main compartment 
internal zip-fastening pocket 
internal logo stamp 
metal feet 
set of keys 
hanging key fob 
gold-tone hardware 
This piece comes complete with a protective dust bag. 
Condition: GOOD. This previously owned and used item is in good condition with minimal signs of use. This may include fading of material or plating and scratches. 
Purchasing this item continues its narrative and reduces the environmental impact by avoiding the use of new resources needed to make the product from scratch, such as water, materials and electricity, and avoiding additional manufacturing impact. 
Learn more about what makes a product Conscious on our Conscious Criteria page 
Outer: 
Calf Leather 100%
Outer: 
Calf Leather 100%
FARFETCH ID: 
 19962692
 19962692
Brand style ID: 
 GIMDUHVBDTI7D6SF
 GIMDUHVBDTI7D6SF
By signing up, you agree to our 
.ltr-1kby4wd-Body{font-family:var(--typography-body-font-family);font-size:var(--typography-body-font-size);line-height:var(--typography-body-line-height);background-color:transparent;cursor:pointer;transition-property:color,text-decoration;transition-duration:var(--motion-functional-duration-s);transition-timing-function:var(--motion-functional-easing-standard);-webkit-text-decoration:underline;text-decoration:underline;color:var(--colors-actions-ghost-dark-enabled-label);}.ltr-1kby4wd-Body:hover{color:var(--colors-actions-ghost-dark-hover-label);}.ltr-1kby4wd-Body:focus{transition-property:color;}
Privacy Policy
. 
Unsubscribe anytime at the bottom of our emails. ","https://cdn-images.farfetch-contents.com/19/96/26/92/19962692_44805622_1000.jpg,https://cdn-images.farfetch-contents.com/19/96/26/92/19962692_44805621_1000.jpg",https://www.farfetch.com/vn/shopping/women/hermes-1999-pre-owned-haut-a-courroies-55-bag-item-19962692.aspx,7293.0,https://cdn-images.farfetch-contents.com/19/96/26/92/19962692_44805621_480.jpg,1999 pre-owned Haut À Courroies 55 bag
"One Size available
pre-owned Horizontal Kelly 42 handbag
pre-owned Horizontal Kelly 42 handbag from Hermès Pre-Owned featuring tan brown, Taurillon Clemence leather, signature sangles straps, foldover top, twist-lock fastening, padlock fastening, hanging key fob, set of keys, single rounded top handle, internal logo stamp, internal patch pockets, internal zip pocket, leather lining, metal feet, silver-tone hardware and rectangle body. Condition: GOOD. This previously owned and used item is in good condition with minimal signs of use. This may include fading of material or plating and scratches.. POSITIVELY CONSCIOUS: Purchasing this item continues its narrative and reduces the environmental impact of using new resources. You can be confident that you’re making a better choice for the Planet..
Made in France
Outer: 
Leather 100%
Outer: 
Leather 100%
FARFETCH ID: 
 18425947
 18425947
Brand style ID: 
 1724TL503
 1724TL503
By signing up, you agree to our 
.ltr-1kby4wd-Body{font-family:var(--typography-body-font-family);font-size:var(--typography-body-font-size);line-height:var(--typography-body-line-height);background-color:transparent;cursor:pointer;transition-property:color,text-decoration;transition-duration:var(--motion-functional-duration-s);transition-timing-function:var(--motion-functional-easing-standard);-webkit-text-decoration:underline;text-decoration:underline;color:var(--colors-actions-ghost-dark-enabled-label);}.ltr-1kby4wd-Body:hover{color:var(--colors-actions-ghost-dark-hover-label);}.ltr-1kby4wd-Body:focus{transition-property:color;}
Privacy Policy
. 
Unsubscribe anytime at the bottom of our emails. ","https://cdn-images.farfetch-contents.com/18/42/59/47/18425947_39692721_1000.jpg,https://cdn-images.farfetch-contents.com/18/42/59/47/18425947_39693062_1000.jpg",https://www.farfetch.com/vn/shopping/women/hermes-pre-owned-horizontal-kelly-42-handbag-item-18425947.aspx,9956.0,https://cdn-images.farfetch-contents.com/18/42/59/47/18425947_39693062_480.jpg,pre-owned Horizontal Kelly 42 handbag
"One Size available
pre-owned Evelyne PM shoulder bag
pre-owned Evelyne PM shoulder bag from Hermès Pre-Owned featuring wine red, calf leather, signature perforated H logo, detachable shoulder strap, press-stud fastening, main compartment, internal logo stamp, slip pocket to the rear and palladium-plated hardware. This piece comes complete with a protective dust bag.. Condition: EXCELLENT. This previously owned item is in near-perfect condition with no signs of damage or use.. Purchasing this item continues its narrative and reduces the environmental impact by avoiding the use of new resources needed to make the product from scratch, such as water, materials and electricity, and avoiding additional manufacturing impact.. Learn more about what makes a product Conscious on our Conscious Criteria page.
Made in France
Outer: 
Calf Leather 100%
Outer: 
Calf Leather 100%
FARFETCH ID: 
 19860692
 19860692
Brand style ID: 
 OWTKUEDAVRRRPDX1
 OWTKUEDAVRRRPDX1
By signing up, you agree to our 
.ltr-1kby4wd-Body{font-family:var(--typography-body-font-family);font-size:var(--typography-body-font-size);line-height:var(--typography-body-line-height);background-color:transparent;cursor:pointer;transition-property:color,text-decoration;transition-duration:var(--motion-functional-duration-s);transition-timing-function:var(--motion-functional-easing-standard);-webkit-text-decoration:underline;text-decoration:underline;color:var(--colors-actions-ghost-dark-enabled-label);}.ltr-1kby4wd-Body:hover{color:var(--colors-actions-ghost-dark-hover-label);}.ltr-1kby4wd-Body:focus{transition-property:color;}
Privacy Policy
. 
Unsubscribe anytime at the bottom of our emails. ","https://cdn-images.farfetch-contents.com/19/86/06/92/19860692_44686755_1000.jpg,https://cdn-images.farfetch-contents.com/19/86/06/92/19860692_44686752_1000.jpg",https://www.farfetch.com/vn/shopping/women/hermes-pre-owned-evelyne-pm-shoulder-bag-item-19860692.aspx,2699.0,https://cdn-images.farfetch-contents.com/19/86/06/92/19860692_44686752_480.jpg,pre-owned Evelyne PM shoulder bag
"One Size available
2004 pre-owned Kelly Cut clutch
2004 pre-owned Kelly Cut clutch from Hermès Pre-Owned featuring chocolate brown, calf leather, grained texture, single flat top handle, signature sangles straps, foldover top, twist-lock fastening, padlock fastening, internal slip pocket, internal logo stamp, leather lining, silver-tone hardware, rectangle body and circa 2004. Condition: GOOD. This previously owned and used item is in good condition with minimal signs of use. This may include fading of material or plating and scratches.. Conscious: Purchasing this item continues its narrative and reduces the environmental impact of using new resources. You can be confident that you’re making a better choice for the Planet..
Made in France
Body: 
Calf Leather 100%
Body: 
Calf Leather 100%
The model is 1.77 m wearing size OS
FARFETCH ID: 
 19752929
 19752929
Brand style ID: 
 SQUAREH
 SQUAREH
By signing up, you agree to our 
.ltr-1kby4wd-Body{font-family:var(--typography-body-font-family);font-size:var(--typography-body-font-size);line-height:var(--typography-body-line-height);background-color:transparent;cursor:pointer;transition-property:color,text-decoration;transition-duration:var(--motion-functional-duration-s);transition-timing-function:var(--motion-functional-easing-standard);-webkit-text-decoration:underline;text-decoration:underline;color:var(--colors-actions-ghost-dark-enabled-label);}.ltr-1kby4wd-Body:hover{color:var(--colors-actions-ghost-dark-hover-label);}.ltr-1kby4wd-Body:focus{transition-property:color;}
Privacy Policy
. 
Unsubscribe anytime at the bottom of our emails. ","https://cdn-images.farfetch-contents.com/19/75/29/29/19752929_44329365_1000.jpg,https://cdn-images.farfetch-contents.com/19/75/29/29/19752929_44329356_1000.jpg",https://www.farfetch.com/vn/shopping/women/hermes-2004-pre-owned-kelly-cut-clutch-item-19752929.aspx,20429.0,https://cdn-images.farfetch-contents.com/19/75/29/29/19752929_44329356_480.jpg,2004 pre-owned Kelly Cut clutch
"One Size available
1990-2000s pre-owned Jungle Love Love silk twilly scarf
1990-2000s pre-owned Jungle Love Love silk twilly scarf from Hermès Pre-Owned featuring black/multicolour, silk, heart print, animal print, logo print to the front, finished edge and circa 1990-2000s. Condition: EXCELLENT. This previously owned item is in near-perfect condition with no signs of damage or use.. Conscious: Purchasing this item continues its narrative and reduces the environmental impact of using new resources. You can be confident that you’re making a better choice for the Planet..
Made in France
Body: 
Silk 100%
Body: 
Silk 100%
FARFETCH ID: 
 19713235
 19713235
Brand style ID: 
 S100
 S100
By signing up, you agree to our 
.ltr-1kby4wd-Body{font-family:var(--typography-body-font-family);font-size:var(--typography-body-font-size);line-height:var(--typography-body-line-height);background-color:transparent;cursor:pointer;transition-property:color,text-decoration;transition-duration:var(--motion-functional-duration-s);transition-timing-function:var(--motion-functional-easing-standard);-webkit-text-decoration:underline;text-decoration:underline;color:var(--colors-actions-ghost-dark-enabled-label);}.ltr-1kby4wd-Body:hover{color:var(--colors-actions-ghost-dark-hover-label);}.ltr-1kby4wd-Body:focus{transition-property:color;}
Privacy Policy
. 
Unsubscribe anytime at the bottom of our emails. ","https://cdn-images.farfetch-contents.com/19/71/32/35/19713235_44186459_1000.jpg,https://cdn-images.farfetch-contents.com/19/71/32/35/19713235_44163704_1000.jpg",https://www.farfetch.com/vn/shopping/women/hermes-1990-2000s-pre-owned-jungle-love-love-silk-twilly-scarf-item-19713235.aspx,424.0,https://cdn-images.farfetch-contents.com/19/71/32/35/19713235_44163704_480.jpg,1990-2000s pre-owned Jungle Love Love silk twilly scarf
"One Size available
2010 pre-owned contrast stitching buckle belt
Taupe grey leather 2010 pre-owned contrast stitching buckle belt from Hermès Pre-Owned featuring contrast stitching, pre-drilled holes, silver-tone buckle fastening, adjustable fit and circa 2010. POSITIVELY CONSCIOUS: Purchasing this item continues its narrative and reduces the environmental impact of using new resources. You can be confident that you’re making a better choice for the Planet..
Made in France
Outer: 
Leather 100%
Outer: 
Leather 100%
FARFETCH ID: 
 18045774
 18045774
Brand style ID: 
 WA2181
 WA2181
By signing up, you agree to our 
.ltr-1kby4wd-Body{font-family:var(--typography-body-font-family);font-size:var(--typography-body-font-size);line-height:var(--typography-body-line-height);background-color:transparent;cursor:pointer;transition-property:color,text-decoration;transition-duration:var(--motion-functional-duration-s);transition-timing-function:var(--motion-functional-easing-standard);-webkit-text-decoration:underline;text-decoration:underline;color:var(--colors-actions-ghost-dark-enabled-label);}.ltr-1kby4wd-Body:hover{color:var(--colors-actions-ghost-dark-hover-label);}.ltr-1kby4wd-Body:focus{transition-property:color;}
Privacy Policy
. 
Unsubscribe anytime at the bottom of our emails. ","https://cdn-images.farfetch-contents.com/18/04/57/74/18045774_38405046_1000.jpg,https://cdn-images.farfetch-contents.com/18/04/57/74/18045774_38405045_1000.jpg",https://www.farfetch.com/vn/shopping/women/hermes-2010-pre-owned-contrast-stitching-buckle-belt-item-18045774.aspx,1041.0,https://cdn-images.farfetch-contents.com/18/04/57/74/18045774_38405045_480.jpg,2010 pre-owned contrast stitching buckle belt
