description,images,link,price,thumbnail,title
"
color:Gold (37),Beige
material:Negonda,Canvas
size:(About) W36 × H25.5 × D17cm
rank:AB
model:Garden Party Mosaic 36
type:
rankDescription:Rank AB [Outer] Stain on the front side [Edges] Rubbing [Handle] Shape change and loose thread [Inner] Stain and imprint [Hardware] Rubbing [Overall] Signs of wear.[Other] There is a tear on the edge of the bag.
brand:HERMÈS
hardware:Palladium
accessories:Dustbag
stamp:Square L (2008)
color2:brown
model2:garden-party-pm
collection:","https://img.ginzaxiaoma.com/images/20230215/10058909_003.jpg,https://img.ginzaxiaoma.com/images/20230215/10058909_002.jpg,https://img.ginzaxiaoma.com/images/20230215/10058909_001.jpg,https://img.ginzaxiaoma.com/images/20230215/10058909_005.jpg,https://img.ginzaxiaoma.com/images/20230216/10058909_024.jpg,https://img.ginzaxiaoma.com/images/20230216/10058909_023.jpg,https://img.ginzaxiaoma.com/images/20230215/10058909_007.jpg,https://img.ginzaxiaoma.com/images/20230215/10058909_009.jpg,https://img.ginzaxiaoma.com/images/20230215/10058909_010.jpg,https://img.ginzaxiaoma.com/images/20230215/10058909_011.jpg,https://img.ginzaxiaoma.com/images/20230215/10058909_008.jpg,https://img.ginzaxiaoma.com/images/20230215/10058909_006.jpg,https://img.ginzaxiaoma.com/images/20230215/10058909_004.jpg,https://img.ginzaxiaoma.com/images/20230215/10058909_014.jpg,https://img.ginzaxiaoma.com/images/20230215/10058909_015.jpg,https://img.ginzaxiaoma.com/images/20230215/10058909_020.jpg,https://img.ginzaxiaoma.com/images/20230215/10058909_016.jpg,https://img.ginzaxiaoma.com/images/20230215/10058909_019.jpg,https://img.ginzaxiaoma.com/images/20230215/10058909_017.jpg,https://img.ginzaxiaoma.com/images/20230215/10058909_018.jpg,https://img.ginzaxiaoma.com/images/20230215/10058909_012.jpg,https://img.ginzaxiaoma.com/images/20230215/10058909_013.jpg,https://img.ginzaxiaoma.com/images/20230215/10058909_022.JPG,https://img.ginzaxiaoma.com/images/20230215/10058909_021.jpg",https://ginzaxiaoma.com/product/10022,1636.5520792278,https://img.ginzaxiaoma.com/images/20230215/10058909_003.jpg,HERMÈS Garden Party Mosaic 36 handbag in Gold Negonda leather and Beige Canvas with Palladium hardware
"
color:Gold (37),Rose Shocking (5R)
material:Epsom
size:(About) W25 × H18 × D9.5cm
rank:A
model:Kelly 25
type:Handbag
rankDescription:Rank A [Outer] Front and back sides have rubbing [Hardware] Shoulder strap buckle and bag closure hardware has rubbing [Overall] Light signs of wear
brand:HERMÈS
hardware:Brushed Gold
accessories:Dustbag,Receipt,Shoulder Strap,Keys,Clochette,Padlock,Rain Cover
stamp:D (2019)
color2:multi-color
model2:kelly-25
collection:Special Order","https://img.ginzaxiaoma.com/images/20230227/10060261_001.jpg,https://img.ginzaxiaoma.com/images/20230227/10060261_002.jpg,https://img.ginzaxiaoma.com/images/20230227/10060261_003.jpg,https://img.ginzaxiaoma.com/images/20230227/10060261_004.jpg,https://img.ginzaxiaoma.com/images/20230227/10060261_005.jpg,https://img.ginzaxiaoma.com/images/20230227/10060261_006.jpg,https://img.ginzaxiaoma.com/images/20230227/10060261_008.jpg,https://img.ginzaxiaoma.com/images/20230227/10060261_010.jpg,https://img.ginzaxiaoma.com/images/20230227/10060261_009.jpg,https://img.ginzaxiaoma.com/images/20230227/10060261_012.jpg,https://img.ginzaxiaoma.com/images/20230227/10060261_011.jpg,https://img.ginzaxiaoma.com/images/20230227/10060261_007.jpg,https://img.ginzaxiaoma.com/images/20230227/10060261_013.jpg,https://img.ginzaxiaoma.com/images/20230227/10060261_016.jpg,https://img.ginzaxiaoma.com/images/20230227/10060261_014.jpg,https://img.ginzaxiaoma.com/images/20230227/10060261_015.jpg,https://img.ginzaxiaoma.com/images/20230227/10060261_017.jpg,https://img.ginzaxiaoma.com/images/20230227/10060261_019.jpg",https://ginzaxiaoma.com/product/10250,24931.9393321005,https://img.ginzaxiaoma.com/images/20230227/10060261_001.jpg,HERMÈS HSS Special Order Kelly 25 Sellier handbag in Gold Epsom leather with Rose Shocking interior and Brushed Gold hardware
"
color:Nata (I2)
material:Swift
size:(About) W25 × H18 × D9.5cm
rank:NS
model:Kelly 25
type:Handbag
rankDescription:Rank NS  It is an unused item.
brand:HERMÈS
hardware:Palladium
accessories:Padlock,Clochette,Shoulder Strap,Rain Cover,Dustbag,Keys
stamp:Z (2021)
color2:white
model2:kelly-25
collection:Limited Edition","https://img.ginzaxiaoma.com/images/20230209/272278_001.jpg,https://img.ginzaxiaoma.com/images/20230209/272278_002.jpg,https://img.ginzaxiaoma.com/images/20230209/272278_003.jpg,https://img.ginzaxiaoma.com/images/20230209/272278_004.jpg,https://img.ginzaxiaoma.com/images/20230209/272278_005.jpg,https://img.ginzaxiaoma.com/images/20230209/272278_006.jpg,https://img.ginzaxiaoma.com/images/20230209/272278_007.jpg,https://img.ginzaxiaoma.com/images/20230209/272278_009.jpg,https://img.ginzaxiaoma.com/images/20230209/272278_010.jpg,https://img.ginzaxiaoma.com/images/20230209/272278_011.jpg,https://img.ginzaxiaoma.com/images/20230209/272278_008.jpg,https://img.ginzaxiaoma.com/images/20230209/272278_012.jpg,https://img.ginzaxiaoma.com/images/20230209/272278_013.jpg,https://img.ginzaxiaoma.com/images/20230209/272278_014.jpg,https://img.ginzaxiaoma.com/images/20230209/272278_015.jpg,https://img.ginzaxiaoma.com/images/20230209/272278_016.jpg,https://img.ginzaxiaoma.com/images/20230209/272278_017.jpg,https://img.ginzaxiaoma.com/images/20230209/272278_018.jpg",https://ginzaxiaoma.com/product/9929,29033.1792828,https://img.ginzaxiaoma.com/images/20230209/272278_001.jpg,HERMÈS Limited Edition Kelly In & Out 25 handbag in Nata Swift leather with Palladium hardware
"
color:Bleu Lin (J7),Beige de Weimar (D0)
material:Togo
size:(About) W25 × H20 × D13cm
rank:N
model:Birkin 25
type:Handbag
rankDescription:Rank N It is a brand new item.
brand:HERMÈS
hardware:Palladium
accessories:Padlock,Clochette,Rain Cover,Dustbag,Keys,Box
stamp:U (2022)
color2:multi-color
model2:birkin-25
collection:","https://img.ginzaxiaoma.com/images/20230203/271721_001.jpg,https://img.ginzaxiaoma.com/images/20230203/271721_002.jpg,https://img.ginzaxiaoma.com/images/20230203/271721_003.jpg,https://img.ginzaxiaoma.com/images/20230203/271721_004.jpg,https://img.ginzaxiaoma.com/images/20230203/271721_005.jpg,https://img.ginzaxiaoma.com/images/20230203/271721_006.jpg,https://img.ginzaxiaoma.com/images/20230203/271721_007.jpg,https://img.ginzaxiaoma.com/images/20230203/271721_008.jpg,https://img.ginzaxiaoma.com/images/20230203/271721_009.jpg,https://img.ginzaxiaoma.com/images/20230203/271721_010.jpg,https://img.ginzaxiaoma.com/images/20230203/271721_011.jpg,https://img.ginzaxiaoma.com/images/20230203/271721_012.jpg,https://img.ginzaxiaoma.com/images/20230203/271721_013.jpg,https://img.ginzaxiaoma.com/images/20230203/271721_014.jpg,https://img.ginzaxiaoma.com/images/20230203/271721_015.jpg,https://img.ginzaxiaoma.com/images/20230203/271721_016.jpg,https://img.ginzaxiaoma.com/images/20230203/271721_017.jpg,https://img.ginzaxiaoma.com/images/20230203/271721_018.jpg",https://ginzaxiaoma.com/product/9830,29033.1792828,https://img.ginzaxiaoma.com/images/20230203/271721_001.jpg,HERMÈS Birkin 25 handbag in Blue Lin Togo leather and Beige de Weimar interior with Palladium hardware
"
color:Craie (10)
material:Epsom
size:(About) W24 × H18 × D7cm
rank:A
model:Constance 24
type:Shoulder Bag
rankDescription:Rank A [Outer] Rubbing [Hardware] Scratches, oxidation [Inner] Imprint on bag and oxidation of zipper hardware [Shoulder strap] Loose thread
brand:HERMÈS
hardware:Rose Gold
accessories:Dustbag
stamp:D (2019)
color2:white
model2:constance-24
collection:","https://img.ginzaxiaoma.com/images/20230208/10057070_001.jpg,https://img.ginzaxiaoma.com/images/20230208/10057070_002.jpg,https://img.ginzaxiaoma.com/images/20230208/10057070_003.jpg,https://img.ginzaxiaoma.com/images/20230208/10057070_004.jpg,https://img.ginzaxiaoma.com/images/20230208/10057070_005.jpg,https://img.ginzaxiaoma.com/images/20230208/10057070_006.jpg,https://img.ginzaxiaoma.com/images/20230208/10057070_008.jpg,https://img.ginzaxiaoma.com/images/20230208/10057070_009.jpg,https://img.ginzaxiaoma.com/images/20230208/10057070_010.jpg,https://img.ginzaxiaoma.com/images/20230208/10057070_011.jpg,https://img.ginzaxiaoma.com/images/20230208/10057070_012.jpg,https://img.ginzaxiaoma.com/images/20230208/10057070_007.jpg,https://img.ginzaxiaoma.com/images/20230208/10057070_013.jpg,https://img.ginzaxiaoma.com/images/20230208/10057070_014.jpg,https://img.ginzaxiaoma.com/images/20230208/10057070_015.jpg,https://img.ginzaxiaoma.com/images/20230208/10057070_018.jpg,https://img.ginzaxiaoma.com/images/20230208/10057070_019.jpg,https://img.ginzaxiaoma.com/images/20230208/10057070_016.jpg,https://img.ginzaxiaoma.com/images/20230208/10057070_017.jpg,https://img.ginzaxiaoma.com/images/20230208/10057070_020.jpg,https://img.ginzaxiaoma.com/images/20230209/10057070_021.jpg,https://img.ginzaxiaoma.com/images/20230209/10057070_022.JPG",https://ginzaxiaoma.com/product/9886,14703.447122588701,https://img.ginzaxiaoma.com/images/20230208/10057070_001.jpg,HERMÈS Constance 24 shoulder bag in Craie Epsom leather with Rose Gold hardware [Consigned]
"
color:Black (89)
material:Togo,Lizard
size:(About) W25 × H18 × D9.5cm
rank:N
model:Kelly 25
type:Handbag
rankDescription:Rank N  It is a brand new item.
brand:HERMÈS
hardware:Gold
accessories:Clochette,Keys,Padlock,Dustbag,Rain Cover,Receipt
stamp:Z (2021)
color2:black
model2:kelly-25
collection:Exotic Skin","https://img.ginzaxiaoma.com/images/20230118/10054000_001.jpg,https://img.ginzaxiaoma.com/images/20230118/10054000_002.jpg,https://img.ginzaxiaoma.com/images/20230118/10054000_003.jpg,https://img.ginzaxiaoma.com/images/20230118/10054000_004.jpg,https://img.ginzaxiaoma.com/images/20230118/10054000_005.jpg,https://img.ginzaxiaoma.com/images/20230118/10054000_006.jpg,https://img.ginzaxiaoma.com/images/20230118/10054000_008.jpg,https://img.ginzaxiaoma.com/images/20230118/10054000_010.jpg,https://img.ginzaxiaoma.com/images/20230118/10054000_009.jpg,https://img.ginzaxiaoma.com/images/20230118/10054000_012.jpg,https://img.ginzaxiaoma.com/images/20230118/10054000_011.jpg,https://img.ginzaxiaoma.com/images/20230118/10054000_007.jpg,https://img.ginzaxiaoma.com/images/20230118/10054000_013.jpg,https://img.ginzaxiaoma.com/images/20230118/10054000_016.jpg,https://img.ginzaxiaoma.com/images/20230118/10054000_014.jpg,https://img.ginzaxiaoma.com/images/20230118/10054000_015.jpg,https://img.ginzaxiaoma.com/images/20230118/10054000_017.jpg,https://img.ginzaxiaoma.com/images/20230118/10054000_018.jpg",https://ginzaxiaoma.com/product/9582,29151.192937356,https://img.ginzaxiaoma.com/images/20230118/10054000_001.jpg,HERMÈS Kelly Touch 25 handbag in Black Togo leather and Lizard skin with Gold hardware
"
color:Etoupe (18),Gris Perle (80)
material:Epsom
size:(About) W28 × H22 × D10cm
rank:SA
model:Kelly 28
type:Handbag
rankDescription:Rank SA [Hardware] There is oxidation, Scratches [Inner] Signs of wear [Shoulder] Scratches on hardware
brand:HERMÈS
hardware:Permabrass
accessories:Receipt,Shoulder Strap,Clochette,Keys,Padlock,Dustbag
stamp:C (2018)
color2:multi-color
model2:kelly-28
collection:Special Order","https://img.ginzaxiaoma.com/images/20230118/10054222_001.JPG,https://img.ginzaxiaoma.com/images/20230118/10054222_002.JPG,https://img.ginzaxiaoma.com/images/20230118/10054222_003.JPG,https://img.ginzaxiaoma.com/images/20230118/10054222_004.JPG,https://img.ginzaxiaoma.com/images/20230118/10054222_005.JPG,https://img.ginzaxiaoma.com/images/20230118/10054222_006.JPG,https://img.ginzaxiaoma.com/images/20230118/10054222_008.JPG,https://img.ginzaxiaoma.com/images/20230118/10054222_010.JPG,https://img.ginzaxiaoma.com/images/20230118/10054222_009.JPG,https://img.ginzaxiaoma.com/images/20230118/10054222_012.JPG,https://img.ginzaxiaoma.com/images/20230118/10054222_011.JPG,https://img.ginzaxiaoma.com/images/20230118/10054222_007.JPG,https://img.ginzaxiaoma.com/images/20230118/10054222_013.JPG,https://img.ginzaxiaoma.com/images/20230118/10054222_016.JPG,https://img.ginzaxiaoma.com/images/20230118/10054222_014.JPG,https://img.ginzaxiaoma.com/images/20230118/10054222_015.JPG,https://img.ginzaxiaoma.com/images/20230118/10054222_017.JPG,https://img.ginzaxiaoma.com/images/20230118/10054222_018.JPG",https://ginzaxiaoma.com/product/9598,22758.3872025174,https://img.ginzaxiaoma.com/images/20230118/10054222_001.JPG,HERMÈS HSS Special Order Verso Kelly 28 Sellier handbag in Etoupe Epsom leather with Pearl Gray interior and Permabrass hardware [Consigned]
"
color:Etoupe (18)
material:Clemence
size:(About) W40 × H21 × D14cm
rank:A
model:Shoulder Birkin
type:Shoulder Bag
rankDescription:Rank A [Outer] Scratches, Stain and Rubbing [Inner] Rubbing [Hardware] Rubbing [Handle] Discoloration and rubbing [Edges] Rubbing
brand:HERMÈS
hardware:Palladium
accessories:Padlock,Clochette,Keys,Dustbag
stamp:Square K (2007)
color2:brown
model2:shoulder-birkin
collection:Men's Style","https://img.ginzaxiaoma.com/images/20221011/10046111_001.jpg,https://img.ginzaxiaoma.com/images/20221011/10046111_002.jpg,https://img.ginzaxiaoma.com/images/20221011/10046111_003.jpg,https://img.ginzaxiaoma.com/images/20221011/10046111_004.jpg,https://img.ginzaxiaoma.com/images/20221011/10046111_005.jpg,https://img.ginzaxiaoma.com/images/20221011/10046111_006.jpg,https://img.ginzaxiaoma.com/images/20221011/10046111_008.jpg,https://img.ginzaxiaoma.com/images/20221011/10046111_010.jpg,https://img.ginzaxiaoma.com/images/20221011/10046111_009.jpg,https://img.ginzaxiaoma.com/images/20221011/10046111_012.jpg,https://img.ginzaxiaoma.com/images/20221011/10046111_011.jpg,https://img.ginzaxiaoma.com/images/20221011/10046111_007.jpg,https://img.ginzaxiaoma.com/images/20221011/10046111_016.jpg,https://img.ginzaxiaoma.com/images/20221011/10046111_015.jpg,https://img.ginzaxiaoma.com/images/20221011/10046111_013.jpg,https://img.ginzaxiaoma.com/images/20221011/10046111_014.jpg,https://img.ginzaxiaoma.com/images/20221011/10046111_017.jpg",https://ginzaxiaoma.com/product/8205,7006.5146606553,https://img.ginzaxiaoma.com/images/20221011/10046111_001.jpg,HERMÈS Shoulder Birkin handbag in Etoupe Clemence leather with Palladium hardware
"
color:Rouge H (55)
material:Swift
size:(About) W36 × H34 × D13cm
rank:A
model:Double Sens 36
type:Handbag
rankDescription:Rank A [Outer] Stain [Edges] Rubbing [Other] Signs of wear
brand:HERMÈS
hardware:Other
accessories:None
stamp:Square O (2011)
color2:red
model2:double-sens-36
collection:","https://img.ginzaxiaoma.com/images/20221014/10043318_010.jpg,https://img.ginzaxiaoma.com/images/20221014/10043318_009.jpg,https://img.ginzaxiaoma.com/images/20221014/10043318_008.jpg,https://img.ginzaxiaoma.com/images/20221014/10043318_011.jpg,https://img.ginzaxiaoma.com/images/20221014/10043318_012.jpg,https://img.ginzaxiaoma.com/images/20221014/10043318_001.jpg,https://img.ginzaxiaoma.com/images/20221014/10043318_002.jpg,https://img.ginzaxiaoma.com/images/20221014/10043318_003.jpg,https://img.ginzaxiaoma.com/images/20221014/10043318_004.jpg,https://img.ginzaxiaoma.com/images/20221014/10043318_005.jpg,https://img.ginzaxiaoma.com/images/20221014/10043318_006.jpg,https://img.ginzaxiaoma.com/images/20221014/10043318_014.jpg,https://img.ginzaxiaoma.com/images/20221014/10043318_019.jpg,https://img.ginzaxiaoma.com/images/20221014/10043318_015.jpg,https://img.ginzaxiaoma.com/images/20221014/10043318_016.jpg,https://img.ginzaxiaoma.com/images/20221014/10043318_018.jpg,https://img.ginzaxiaoma.com/images/20221014/10043318_020.jpg,https://img.ginzaxiaoma.com/images/20221014/10043318_021.jpg,https://img.ginzaxiaoma.com/images/20221014/10043318_017.jpg,https://img.ginzaxiaoma.com/images/20221014/10043318_022.jpg,https://img.ginzaxiaoma.com/images/20221014/10043318_023.jpg,https://img.ginzaxiaoma.com/images/20221014/10043318_026.jpg,https://img.ginzaxiaoma.com/images/20221014/10043318_024.jpg,https://img.ginzaxiaoma.com/images/20221014/10043318_025.jpg,https://img.ginzaxiaoma.com/images/20221014/10043318_007.jpg",https://ginzaxiaoma.com/product/8293,2787.2610553998,https://img.ginzaxiaoma.com/images/20221014/10043318_010.jpg,HERMÈS Double Sens 36 handbag in Rouge H Swift leather
"
color:Rubis (B5)
material:Clemence
size:(About) W34 × H26 × D15cm
rank:A
model:Jypsiere 34
type:Shoulder Bag
rankDescription:Rank A [Hardware] Scratches [Edges] Slightly rubbing [Other] Signs of wear
brand:HERMÈS
hardware:Palladium
accessories:Dustbag,Shoulder Strap
stamp:Square P (2012)
color2:red
model2:jypsiere-34
collection:","https://img.ginzaxiaoma.com/images/20221019/10046807_001.jpg,https://img.ginzaxiaoma.com/images/20221019/10046807_002.jpg,https://img.ginzaxiaoma.com/images/20221019/10046807_003.jpg,https://img.ginzaxiaoma.com/images/20221019/10046807_005.jpg,https://img.ginzaxiaoma.com/images/20221019/10046807_004.jpg,https://img.ginzaxiaoma.com/images/20221019/10046807_007.jpg,https://img.ginzaxiaoma.com/images/20221019/10046807_008.jpg,https://img.ginzaxiaoma.com/images/20221019/10046807_009.jpg,https://img.ginzaxiaoma.com/images/20221019/10046807_011.jpg,https://img.ginzaxiaoma.com/images/20221019/10046807_010.jpg,https://img.ginzaxiaoma.com/images/20221019/10046807_006.jpg,https://img.ginzaxiaoma.com/images/20221019/10046807_013.jpg,https://img.ginzaxiaoma.com/images/20221019/10046807_019.jpg,https://img.ginzaxiaoma.com/images/20221019/10046807_014.jpg,https://img.ginzaxiaoma.com/images/20221019/10046807_012.jpg,https://img.ginzaxiaoma.com/images/20221019/10046807_018.jpg,https://img.ginzaxiaoma.com/images/20221019/10046807_015.jpg,https://img.ginzaxiaoma.com/images/20221019/10046807_016.jpg,https://img.ginzaxiaoma.com/images/20221019/10046807_017.jpg,https://img.ginzaxiaoma.com/images/20221019/10046807_020.jpg",https://ginzaxiaoma.com/product/8363,2748.899033244,https://img.ginzaxiaoma.com/images/20221019/10046807_001.jpg,HERMÈS Jypsiere 34 shoulder bag in Rubis Clemence leather with Palladium hardware  [Consigned]
