description,images,link,price,thumbnail,title
"Description 
	
	 Bleu Nuit is just the colour if you like dark bags and are looking for something that’s a little different from classic black.  It works as well in the summer as it does in winter and the 25cm  is a hugely popular size,  perfect for carrying everything you need for the daytime and then transforming into a chic evening bag. 
 Hermes Colour :   Bleu Nuit 
Hermes Colour Code:  2Z 
Colour Group:  Blue/Neutral 
Leather:  Togo 
Hardware:  Palladium 
Stamp: 
Condition:  Brand   New  
Dimensions:  25cm x 20cm x 13cm  (W/H/D) 
Accessories:  All  
Receipt:  Yes  
 Lilac Blue London ships and hand carries authentic Hermes Birkin and Kelly bags every week across Europe, the US, Asia and the Middle East. 
 Please call on +44 845 224 8876 or email info@lilacblue.com for more information. And please be aware that if this is your first time shopping with Lilac Blue London, payment needs to be by bank transfer or by card in the Lilac Blue London showroom. 
 Please note this bag is in Europe and subject to 20% import duty if delivery is in the UK. Alternatively it can be exported to you if you are resident outside the UK, or collected from our Dublin or Palma office. (S/F)",,https://lilacblue.com/product/hermes-birkin-25cm-bleu-nuit-togo-phw-2/,"£23,000.00",https://lilacblue.com/wp-content/uploads/2020/08/25cm-Bleu-Nuit-Birkin-in-Togo-with-Palladium-1.jpg,"
		Hermes Birkin 25cm Bleu Nuit Togo PHW	"
"Description 
	
	 Beton is a very versatile cool pale grey shade, reissued for 2019 which can be paired with other neutrals and black but will easily work with brighter colours too.  The 25cm is a hugely popular size,  perfect for carrying everything you need for the daytime and then transforming into a chic evening bag. 
 Hermes Colour :   Beton 
Hermes Colour Code:  8L 
Colour Group:  White/Neutral 
Leather:  Ostrich 
Hardware:  Gold 
Stamp:  Z 
Condition:  Brand   New  
Dimensions:  25cm x 20cm x 13cm  (W/H/D) 
 Lilac Blue London ships and hand carries authentic Hermes Birkin and Kelly bags every week across Europe, the US, Asia and the Middle East. 
 Please call on +44 845 224 8876 or email info@lilacblue.com for more information. And please be aware that if this is your first time shopping with Lilac Blue London, payment needs to be by bank transfer or by card in the Lilac Blue London showroom. 
 Please note this bag is in Europe and subject to 20% import duty if delivery is in the UK. Alternatively it can be exported to you if you are resident outside the UK, or collected from our Dublin or Palma office. (TFH) 
 Image courtesy of Madison Avenue Couture",,https://lilacblue.com/product/hermes-birkin-25cm-beton-ostrich-ghw/,"£45,000.00",https://lilacblue.com/wp-content/uploads/2022/03/25cm-Beton-Birkin-in-Ostrich-with-Gold-hardware.jpg,"
		Hermes Birkin 25cm Beton Ostrich GHW	"
"Description 
	
	 Hermes Colour :   Bleu Navy  
Hermes Colour Code:  n/a 
Colour Group:  Blue 
Leather:  Swift 
Hardware:  Gold 
Stamp:  Y 
Condition:  Brand   New  
Dimensions:  25cm x 20cm x 13cm  (W/H/D) 
Accessories:  All  
Receipt:  Yes (original) 
 Bleu Navy Hermes Birkin 25 in Swift with Gold hardware Watch this video on YouTube 
 Lilac Blue London ships and hand carries authentic Hermes Birkin and Kelly bags every week across Europe, the US, Asia and the Middle East. 
 Please call on +44 845 224 8876 or email info@lilacblue.com for more information. And please be aware that if this is your first time shopping with Lilac Blue London, payment needs to be by bank transfer or by card in the Lilac Blue London showroom. 
 This bag is in the UK and is sold in the UK inclusive of all tax. VAT cannot be reclaimed. The bag can be exported with complimentary shipping but may be subject to import duty in the country of destination. (TP) 
 Look after your Hermes Birkin with a Lilac Blue London  Bag Pillow",,https://lilacblue.com/product/hermes-birkin-25cm-bleu-navy-swift-ghw/,"£18,000.00",https://lilacblue.com/wp-content/uploads/2022/07/25cm-Bleu-Navy-Birkin-in-Swift-with-Gold-hardware.jpg,"
		Hermes Birkin 25cm Bleu Navy Swift GHW	"
"Description 
	
	 Hermes Colour :   Bleu Indigo 
Hermes Colour Code:  76 
Colour Group:  Blue 
Leather:  Epsom 
Hardware:  Gold 
Stamp:  U 
Condition:  Brand   New  
Dimensions:  25cm x 20cm x 13cm  (W/H/D) 
Accessories:  All  
Receipt:  Yes  
 Lilac Blue London ships and hand carries authentic Hermes Birkin and Kelly bags every week across Europe, the US, Asia and the Middle East. 
 Please call on +44 845 224 8876 or email info@lilacblue.com for more information. And please be aware that if this is your first time shopping with Lilac Blue London, payment needs to be by bank transfer or by card in the Lilac Blue London showroom. 
 Please note this bag is in Europe and subject to 20% import duty if delivery is in the UK. Alternatively it can be exported to you if you are resident outside the UK, or collected from our Dublin or Palma office. (TFH) 
 Look after your Hermes Birkin with a Lilac Blue London  Bag Pillow 
 Image courtesy of 1st Dibs",,https://lilacblue.com/product/hermes-birkin-25cm-bleu-indigo-sellier-epsom-ghw/,"£24,750.00",https://lilacblue.com/wp-content/uploads/2022/06/25cm-Bleu-Indigo-Birkin-Sellier-in-Epsom-with-Gold-hardware.jpg,"
		Hermes Birkin 25cm Bleu Indigo Sellier Epsom GHW	"
"Description 
	
	 You can’t go wrong with this beautiful little Birkin in the timeless combination of Black with Rose Gold Hardware, and perfect for everyday use all year round as well as a good investment! 
 Hermes Colour :   Black 
Hermes Colour Code:  89 
Colour Group:  Black/Neutral 
Leather:  Togo 
Hardware:  Rose Gold 
Stamp:  B 
Condition:  Brand   New  
Dimensions:  25cm x 20cm x 13cm  (W/H/D) 
Accessories:  All  
Receipt:  Yes 
 Lilac Blue London ships and hand carries authentic Hermes Birkin and Kelly bags every week across Europe, the US, Asia and the Middle East. 
 Please note this bag is in Europe and subject to 20% import duty if delivery is in the UK. Alternatively it can be exported to you if you are resident outside the UK, or collected from our Dublin or Palma office. (TFH) 
 Please call on +44 845 224 8876 or email info@lilacblue.com for more information. And please be aware that if this is your first time shopping with Lilac Blue London, payment needs to be by bank transfer or by card in the Lilac Blue London showroom. 
 Image courtesy of Christies",,https://lilacblue.com/product/hermes-birkin-25cm-black-togo-rghw/,"£23,000.00",https://lilacblue.com/wp-content/uploads/2020/09/25cm-Black-Birkin-in-Togo-with-Rose-Gold.jpg,"
		Hermes Birkin 25cm Black Togo RGHW	"
"Description 
	
	 The 25cm Birkin is a hugely popular size and especially desirable in this classic combination of Black Shiny Porosus Crocodile with Palladium Hardware. It’s such a beautiful bag and the perfect size for carrying everything you need for the daytime and then transforming into a super chic evening bag. 
 Colour :   Black 
Colour Code:  89 
Leather:  Shiny Porosus 
Hardware:  Palladium 
Stamp:  U 
Condition:  Brand   New  
Dimensions:  25cm x 20cm x 13cm  (W/H/D) 
Accessories:  All  
Receipt:  Yes  
 Lilac Blue London ships and hand carries authentic Hermes Birkin and Kelly bags every week across Europe, the US, Asia and the Middle East. 
 Please call on +44 845 224 8876 or email info@lilacblue.com for more information. And please be aware that if this is your first time shopping with Lilac Blue London, payment needs to be by bank transfer or by card in the Lilac Blue London showroom. 
 This bag is in the UK and is sold in the UK inclusive of all tax. VAT cannot be reclaimed. The bag can be exported with complimentary shipping but may be subject to import duty in the country of destination. (LB)",,https://lilacblue.com/product/hermes-birkin-25cm-black-shiny-croc-phw-2/,"£70,000.00",https://lilacblue.com/wp-content/uploads/2020/07/25cm-Black-Birkin-in-Shiny-Croc-with-Palladium-hardware.jpg,"
		Hermes Birkin 25cm Black Shiny Croc PHW	"
"Description 
	
	 The newest Limited Edition Birkin is this fabulous little Birkin 25 called the “In and Out”.  It features some of the things you might carry inside your Birkin – your change purse, a lipstick, and a pencil, as well as a Rodeo charm and the little bag for your key & lock.   It has the usual orange Hermes 25cm Birkin box but inside it has a sloped navy blue shelf for the bag, so it is never lying flat.  Very smart.   The dustbags have also been changed to be highlighted in navy blue rather than the usual dark brown.   All in all, a very special bag! 
 Hermes Colour :   Biscuit 
Hermes Colour Code:  48 
Colour Group:  Brown/Neutral 
Leather:  Swift 
Hardware:  Palladium 
Stamp:  Z 
Condition:  Brand   New  
Dimensions:  25cm x 20cm x 13cm  (W/H/D) 
Accessories:  All  
Receipt:  Yes  
 Limited Edition Birkin 25cm ""In & Out"" reveal Watch this video on YouTube 
 Lilac Blue London ships and hand carries authentic Hermes Birkin and Kelly bags every week across Europe, the US, Asia and the Middle East. 
 Please call on +44 845 224 8876 or email info@lilacblue.com for more information. And please be aware that if this is your first time shopping with Lilac Blue London, payment needs to be by bank transfer or by card in the Lilac Blue London showroom. 
 Please note this bag is in Europe and subject to 20% import duty if delivery is in the UK. Alternatively it can be exported to you if you are resident outside the UK, or collected from our Dublin or Palma office. (S/F)",,https://lilacblue.com/product/hermes-birkin-25cm-biscuit-in-out-limited-edition-swift-phw/,"£32,500.00",https://lilacblue.com/wp-content/uploads/2021/11/25cm-Biscuit-Birkin-In-Out-in-Swift-with-Palladium-hardware.jpg,"
		Hermes Birkin 25cm Biscuit In & Out Limited Edition Swift PHW	"
"Description 
	
	 Beton is a very versatile cool pale grey shade, reissued for 2019 which can be paired with other neutrals and black but will easily work with brighter colours too.  The 25cm is a hugely popular size,  perfect for carrying everything you need for the daytime and then transforming into a chic evening bag. 
 Hermes Colour :   Beton 
Hermes Colour Code:  8L 
Colour Group:  Neutral 
Leather:  Togo 
Hardware:  Gold 
Stamp: 
Condition:  Brand   New  
Dimensions:  25cm x 20cm x 13cm  (W/H/D) 
 Lilac Blue London ships and hand carries authentic Hermes Birkin and Kelly bags every week across Europe, the US, Asia and the Middle East. 
 Please call on +44 845 224 8876 or email info@lilacblue.com for more information. And please be aware that if this is your first time shopping with Lilac Blue London, payment needs to be by bank transfer or by card in the Lilac Blue London showroom. 
 Please note this bag is in Europe and subject to 20% import duty if delivery is in the UK. Alternatively it can be exported to you if you are resident outside the UK, or collected from our Dublin or Palma office. (TFH) 
 Main image courtesy of 1st Dibs",,https://lilacblue.com/product/hermes-birkin-25cm-beton-togo-ghw/,"£24,750.00",https://lilacblue.com/wp-content/uploads/2018/07/25cm-Beton-Birkin-in-Togo-with-Gold-1.jpg,"
		Hermes Birkin 25cm Beton Togo GHW	"
"Description 
	
	 Hermes Colour :   Black 
Hermes Colour Code:  89 
Colour Group:  Black/Neutral 
Leather:  Epsom 
Hardware:  Gold 
Stamp:  U 
Condition:  Brand   New  
Dimensions:  25cm x 20cm x 13cm  (W/H/D) 
Accessories:  All  
Receipt:  Yes  
 Lilac Blue London ships and hand carries authentic Hermes Birkin and Kelly bags every week across Europe, the US, Asia and the Middle East. 
 Please call on +44 845 224 8876 or email info@lilacblue.com for more information. And please be aware that if this is your first time shopping with Lilac Blue London, payment needs to be by bank transfer or by card in the Lilac Blue London showroom. 
 Image courtesy of Worlds Best 
 Please note this bag is in Europe and subject to 20% import duty if delivery is in the UK. Alternatively it can be exported to you if you are resident outside the UK, or collected from our Dublin or Palma office. (S/F)",,https://lilacblue.com/product/hermes-birkin-25cm-black-sellier-epsom-ghw/,"£23,550.00",https://lilacblue.com/wp-content/uploads/2021/05/25cm-Black-Birkin-Sellier-in-Epsom-with-Gold-hardware.jpg,"
		Hermes Birkin 25cm Black Sellier Epsom GHW	"
"Description 
	
	 The Constance was one of the first ever handbag designs from Hermes, making its debut in 1959.  This  mini size makes a great little evening bag. 
 Colour :   Black 
Colour Code:  89 
Leather:  Epsom 
Hardware:  Palladium 
Condition:  Brand   New  
Dimensions:  18cm x 15cm x 6cm  (W/H/D) 
Accessories:   All 
Receipt:   Yes 
 Lilac Blue London ships and hand carries authentic Hermes Birkin and Kelly bags every week across Europe, the US, Asia and the Middle East. 
 Please call on  +44 845 224 8876  or email info@lilacblue.com for more information. And please be aware that if this is your first time shopping with Lilac Blue London, payment needs to be by bank transfer or by card in the Lilac Blue London showroom. 
 Please note this bag is in Europe and subject to 20% import duty if delivery is in the UK. Alternatively it can be exported to you if you are resident outside the UK, or collected from our Dublin or Palma office. 
 Image borrowed from Heritage Auctions",,https://lilacblue.com/product/hermes-constance-18cm-black-epsom-phw/,,https://lilacblue.com/wp-content/uploads/2020/11/18cm-Constance-Black-in-Epsom-with-palladium.jpg,"
		Hermes Constance 18cm Black Epsom PHW	"
