description,images,link,price,thumbnail,title
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/cuivre-taurillon-saddle-birkin-30-palladium,18000,,"Cuivre Taurillon Saddle Birkin 30 Palladium Hardware, 2021"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/gold-clemence-mini-evelyne-tpm-16-palladium-2,3200,,"Gold Clemence Mini Evelyne TPM 16 Palladium Hardware, 2022"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/rouge-casaque-evercolor-mini-bolide-1923-gold,10000,,"Rouge Casaque Evercolor Mini Bolide 1923 Gold Hardware, 2018"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/rouge-vif-ostrich-constance-18-gold-hardware-2019,18000,,"Rouge Vif Ostrich Constance 18 Gold Hardware, 2019"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/bougainvillea-clemence-birkin-35-palladium,16000,,"Bougainvillea Clemence Birkin 35 Palladium Hardware, 2009"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/sanguine-matte-alligator-birkin-35-gold-hardware,34000,,"Sanguine Matte Alligator Birkin 35 Gold Hardware, 2011"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/rouge-casaque-epsom-birkin-30-gold-hardware-2018,16000,,"Rouge Casaque Epsom Birkin 30 Gold Hardware, 2018"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/rouge-grenat-togo-kelly-retourne-25-palladium,22000,,"Rubis Togo Kelly Retourne 25 Palladium Hardware, 2022"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/rouge-h-shiny-niloticus-crocodile-birkin-30,46000,,"Rouge H Shiny Niloticus Crocodile Birkin 30 Palladium Hardware, 2005"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/rouge-h-box-birkin-sellier-25-gold-hardware-2022,35000,,"Rouge H Box Birkin Sellier 25 Gold Hardware, 2022"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/mauve-sylvestre-clemence-picotin-lock-22-palladium,4000,,"Mauve Sylvestre Clemence Picotin Lock 22 Palladium Hardware, 2022"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/mauve-sylvestre-swift-kelly-cut-rose-gold-hardware,15000,,"Mauve Sylvestre Swift Kelly Cut Rose Gold Hardware, 2021"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/marble-silk-and-rose-mexico-swift-constance-18,18000,,"Marble Silk and Rose Mexico Swift Constance 18 Palladium Hardware, 2021"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/lime-clemence-picotin-lock-18-palladium-hardware,3500,,"Lime Clemence Picotin Lock 18 Palladium Hardware, 2021"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/jaune-ambre-bleu-celeste-and-bleu-indigo-swift,30000,,"Jaune Ambre, Bleu Celeste and Bleu Indigo Swift Contour Birkin 35 Palladium Hardware, 2019"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/yellow-goyardine-canvas-and-cervon-calfskin,5000,,Yellow Goyardine Canvas and Cervon Calfskin Voltigeur MM Bag Palladium Hardware
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/cactus-evercolor-lindy-30-palladium-hardware-2019,10000,,"Cactus Evercolor Lindy 30 Palladium Hardware, 2019"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/vert-anglais-buffalo-birkin-35-brushed-gold,18000,,"Vert Anglais Buffalo Birkin 35 Brushed Gold Hardware, 2009"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/vert-anis-togo-kelly-retourne-35-palladium,15000,,"Vert Anis Togo Kelly Retourne 35 Palladium Hardware, 2005"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/vert-veronese-matte-porosus-crocodile-birkin-35,40000,,"Vert Veronese Matte Porosus Crocodile Birkin 35 Palladium Hardware, 2010"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/vert-de-gris-epsom-kelly-sellier-28-gold-hardware,30000,,"Vert De Gris Epsom Kelly Sellier 28 Gold Hardware, 2021"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/chocolate-swift-and-vert-olive-officier-toile-hac,16000,,"Chocolate Swift and Vert Olive Officier Toile HAC Birkin 32 Palladium Hardware, 2007"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/alezan-swift-and-chamois-grizzly-suede-birkin-30,20000,,"Alezan Swift and Chamois Grizzly Suede Birkin 30 Gold Hardware, 2021"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/gold-maurice-mini-evelyne-tpm-16-palladium,3200,,"Gold Maurice Mini Evelyne TPM 16 Palladium Hardware, 2022"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/orange-sanguine-gold-bleu-hydra-bleu-lin-and-etain,7000,,"Orange, Sanguine, Gold, Bleu Hydra, Bleu Lin and Etain Clemence Arlequin Birkin 35 Palladium Hardware, 2012"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/bleu-atoll-clemence-birkin-35-gold-hardware-2016,6000,,"Bleu Atoll Clemence Birkin 35 Gold Hardware, 2016"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/bleu-frida-swift-kelly-retourne-25-gold-hardware,20000,,"Bleu Frida Swift Kelly Retourne 25 Gold Hardware, 2021"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/bleu-jean-clemence-lindy-30-palladium-hardware,10000,,"Bleu Jean Clemence Lindy 30 Palladium Hardware, 2011"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/bleu-izmir-tadelakt-constance-24-gold-hardware,16000,,"Bleu Izmir Tadelakt Constance 24 Gold Hardware, 2017"
,,https://www.sothebys.com/en/buy/auction/2023/handbags-accessories-3/bleu-brighton-and-bleu-nuit-chevre-mysore-verso,18000,,"Bleu Brighton and Bleu Nuit Chèvre Mysore Verso Constance 18 Palladium Hardware, 2022"
