description,images,link,price,thumbnail,title
"Cashmere and silk 140 shawl, Brandenburg dots, black/fushia/yellow, new with tag, no orange box",,https://www.vestiairecollective.com/women-accessories/scarves/hermes/black-cashmere-chale-140-hermes-scarf-30444168.shtml,100445,https://images.vestiairecollective.com/produit/30444168-1_2.jpg,Châle 140 cashmere scarf
Hermes teal (blue/green) coloured rubber Aloha flip flops / mules.  Very good condition. Original box and dust bags.,,https://www.vestiairecollective.com/women-shoes/sandals/hermes/blue-rubber-aloha-hermes-sandals-30993349.shtml,33662,https://images.vestiairecollective.com/produit/30993349-1_2.jpg,Aloha flip flops
"Cravate Faccone Twill, Rouge Basque ,8 cm.",,https://www.vestiairecollective.com/men-accessories/ties/hermes/orange-silk-hermes-tie-31902357.shtml,34539,https://images.vestiairecollective.com/produit/31902357-1_2.jpg,Silk tie
"100% Silk, 7cm , Rosé indien.",,https://www.vestiairecollective.com/men-accessories/ties/hermes/pink-silk-hermes-tie-31901272.shtml,34539,https://images.vestiairecollective.com/produit/31901272-1_2.jpg,Silk tie
"Hermès Goal aus Velourleder, selten getragen in Top Zustand. ",,https://www.vestiairecollective.com/women-shoes/trainers/hermes/burgundy-leather-goal-hermes-trainers-31861495.shtml,29370,https://images.vestiairecollective.com/produit/31861495-1_2.jpg,Goal leather trainers
Kelly pocket strap with PHW,,https://www.vestiairecollective.com/women-accessories/purses-wallets-cases/hermes/beige-leather-kelly-hermes-purse-31255226.shtml,340692,https://images.vestiairecollective.com/produit/31255226-1_4.jpg,Kelly leather purse
"Mini Lindy Bag in  Clemence leather color blue de malt. Palladium hardware used throughout and a zip top opening. From the 2019 Collection. Sold with original dustbag.
Measurements: 18cm (W) x 14cm (H) x 9cm (Depth) x 50cm (Strap length) x 7cm (Handle height)
Composition: 100% leather",,https://www.vestiairecollective.com/women-bags/handbags/hermes/blue-leather-lindy-hermes-handbag-31274893.shtml,1052760,https://images.vestiairecollective.com/produit/31274893-1_6.jpg,Lindy leather mini bag
"Hermes Sandal in Epsom calfskin with iconic ""H"" cut-out. Size 42. Color Blanc Gomme / Bleu Céleste. Never worn. Comes with dustbags and hermes ribboned box.",,https://www.vestiairecollective.com/men-shoes/sandals/hermes/beige-leather-izmir-hermes-sandals-30381858.shtml,67551,https://images.vestiairecollective.com/produit/30381858-1_4.jpg,Izmir leather sandals
"Picotin handbag in two-tone grained Taurillon leather - 2021. Two handles. One main compartment. Four protective feet. Silver hardware. Made in France. Sold with dustbag, box, keys and padlock. 
Note: Slight storage marks and small trace on the top of the box.",,https://www.vestiairecollective.com/women-bags/handbags/hermes/multicolour-leather-picotin-hermes-handbag-26072839.shtml,400959,https://images.vestiairecollective.com/produit/26072839-1_1.jpg,Picotin leather handbag
"Shoulder bag, in excellent condition with two compartments, one main and one back with button closure. It has a fabric strap with leather and silver hardware.
Model: Evelyne 3 PM Taurillon Clemenc 
Color 4H CACAO
Unused.",,https://www.vestiairecollective.com/women-bags/handbags/hermes/brown-leather-evelyne-hermes-handbag-31867420.shtml,317196,https://images.vestiairecollective.com/produit/31867420-1_3.jpg,Evelyne leather crossbody bag
